"","x"
"1445",4
"1446",3
"1447",0
"1448",4
"1449",1
"1450",0
"1451",1
"1452",2
"1453",2
"1454",4
"1455",0
"1456",0
"1457",4
"1458",3
"1459",3
"1460",4
"1461",3
"1462",2
"1463",1
"1464",4
"1465",1
"1466",0
"1467",0
"1468",1
"1469",2
"1470",1
"1471",1
"1472",1
"1473",4
"1474",1
"1475",4
"1476",4
"1477",4
"1478",3
"1479",3
"1480",3
"1481",3
"1482",1
"1483",2
"1484",2
"1485",4
"1486",1
"1487",2
"1488",4
"1489",3
"1490",2
"1491",2
"1492",3
"1493",1
"1494",2
"1495",1
"1496",1
"1497",3
"1498",3
"1499",2
"1500",0
"1501",1
"1502",0
"1503",0
"1504",1
"1505",1
"1506",0
"1507",2
"1508",1
"1509",2
"1510",1
"1511",2
"1512",0
"1513",3
"1514",4
"1515",4
"1516",0
"1517",3
"1518",0
"1519",4
"1520",3
"1521",4
"1522",2
"1523",3
"1524",3
"1525",1
"1526",4
"1527",1
"1528",0
"1529",3
"1530",2
"1531",1
"1532",2
"1533",2
"1534",2
"1535",1
"1536",2
"1537",1
"1538",2
"1539",1
"1540",4
"1541",4
"1542",1
"1543",2
"1544",4
"1545",0
"1546",4
"1547",3
"1548",2
"1549",4
"1550",3
"1551",0
"1552",4
"1553",4
"1554",2
"1555",1
"1556",2
"1557",2
"1558",2
"1559",1
"1560",4
"1561",0
"1562",0
"1563",1
"1564",4
"1565",2
"1566",3
"1567",2
"1568",3
"1569",0
"1570",1
"1571",2
"1572",3
"1573",1
"1574",4
"1575",0
"1576",4
"1577",4
"1578",4
"1579",0
"1580",0
"1581",0
"1582",4
"1583",4
"1584",0
"1585",2
"1586",1
"1587",4
"1588",3
"1589",2
"1590",4
"1591",0
"1592",2
"1593",1
"1594",0
"1595",3
"1596",1
"1597",0
"1598",1
"1599",4
"1600",3
"1601",1
"1602",1
"1603",4
"1604",3
"1605",2
"1606",3
"1607",4
"1608",3
"1609",1
"1610",4
"1611",1
"1612",1
"1613",3
"1614",3
"1615",4
"1616",2
"1617",0
"1618",3
"1619",3
"1620",1
"1621",3
"1622",3
"1623",3
"1624",2
"1625",1
"1626",3
"1627",1
"1628",1
"1629",4
"1630",1
"1631",4
"1632",4
"1633",3
"1634",1
"1635",0
"1636",1
"1637",4
"1638",0
"1639",4
"1640",0
"1641",3
"1642",1
"1643",0
"1644",1
"1645",4
"1646",2
"1647",4
"1648",0
"1649",2
"1650",2
"1651",2
"1652",0
"1653",2
"1654",0
"1655",1
"1656",3
"1657",4
"1658",3
"1659",1
"1660",0
"1661",1
"1662",2
"1663",4
"1664",1
"1665",2
"1666",0
"1667",3
"1668",0
"1669",3
"1670",1
"1671",1
"1672",4
"1673",0
"1674",4
"1675",2
"1676",1
"1677",4
"1678",3
"1679",1
"1680",1
"1681",0
"1682",0
"1683",2
"1684",3
"1685",2
"1686",2
"1687",0
"1688",2
"1689",4
"1690",0
"1691",4
"1692",4
"1693",2
"1694",1
"1695",3
"1696",3
"1697",3
"1698",1
"1699",1
"1700",4
"1701",3
"1702",1
"1703",2
"1704",4
"1705",1
"1706",1
"1707",2
"1708",4
"1709",4
"1710",1
"1711",1
"1712",2
"1713",3
"1714",0
"1715",2
"1716",2
"1717",3
"1718",1
"1719",0
"1720",2
"1721",4
"1722",2
"1723",0
"1724",1
"1725",4
"1726",3
"1727",0
"1728",1
"1729",4
"1730",4
"1731",3
"1732",1
"1733",4
"1734",3
"1735",2
"1736",3
"1737",3
"1738",1
"1739",2
"1740",3
"1741",1
"1742",3
"1743",2
"1744",4
"1745",4
"1746",4
"1747",1
"1748",1
"1749",1
"1750",4
"1751",0
"1752",1
"1753",4
"1754",3
"1755",4
"1756",2
"1757",3
"1758",1
"1759",4
"1760",4
"1761",3
"1762",1
"1763",4
"1764",1
"1765",3
"1766",3
"1767",0
"1768",4
"1769",0
"1770",3
"1771",2
"1772",4
"1773",0
"1774",3
"1775",0
"1776",0
"1777",2
"1778",4
"1779",2
"1780",2
"1781",1
"1782",4
"1783",3
"1784",1
"1785",1
"1786",2
"1787",2
"1788",2
"1789",1
"1790",2
"1791",0
"1792",0
"1793",3
"1794",0
"1795",1
"1796",4
"1797",3
"1798",0
"1799",3
"1800",0
"1801",3
"1802",1
"1803",1
"1804",0
"1805",1
"1806",1
"1807",0
"1808",0
"1809",0
"1810",3
"1811",3
"1812",3
"1813",3
"1814",0
"1815",3
"1816",2
"1817",0
"1818",2
"1819",2
"1820",1
"1821",3
"1822",4
"1823",0
"1824",0
"1825",0
"1826",1
"1827",4
"1828",3
"1829",2
"1830",1
"1831",0
"1832",1
"1833",1
"1834",0
"1835",3
"1836",3
"1837",1
"1838",2
"1839",0
"1840",2
"1841",1
"1842",2
"1843",3
"1844",0
"1845",4
"1846",0
"1847",3
"1848",0
"1849",4
"1850",4
"1851",4
"1852",1
"1853",1
"1854",0
"1855",0
"1856",0
"1857",3
"1858",3
"1859",0
"1860",4
"1861",2
"1862",1
"1863",1
"1864",3
"1865",2
"1866",2
"1867",3
"1868",2
"1869",4
"1870",1
"1871",2
"1872",1
"1873",4
"1874",3
"1875",1
"1876",2
"1877",4
"1878",1
"1879",3
"1880",2
"1881",4
"1882",2
"1883",3
"1884",2
"1885",3
"1886",4
"1887",4
"1888",2
"1889",3
"1890",4
"1891",3
"1892",2
"1893",1
"1894",2
"1895",1
"1896",1
"1897",3
"1898",2
"1899",3
"1900",0
"1901",0
"1902",2
"1903",2
"1904",1
"1905",4
"1906",2
"1907",1
"1908",4
"1909",2
"1910",3
"1911",4
"1912",3
"1913",1
"1914",4
"1915",1
"1916",0
"1917",3
"1918",0
"1919",4
"1920",1
"1921",1
"1922",0
"1923",1
"1924",1
"1925",0
"1926",1
"1927",3
"1928",1
"1929",0
"1930",4
"1931",3
"1932",3
"1933",2
"1934",2
"1935",4
"1936",4
"1937",4
"1938",2
"1939",4
"1940",4
"1941",1
"1942",0
"1943",4
"1944",3
"1945",1
"1946",2
"1947",2
"1948",4
"1949",0
"1950",4
"1951",2
"1952",1
"1953",1
"1954",3
"1955",4
"1956",2
"1957",1
"1958",2
"1959",4
"1960",0
"1961",4
"1962",3
"1963",0
"1964",4
"1965",4
"1966",0
"1967",2
"1968",1
"1969",0
"1970",1
"1971",1
"1972",2
"1973",1
"1974",4
"1975",1
"1976",2
"1977",2
"1978",2
"1979",3
"1980",3
"1981",2
"1982",1
"1983",2
"1984",4
"1985",2
"1986",0
"1987",3
"1988",2
"1989",3
"1990",1
"1991",1
"1992",2
"1993",3
"1994",1
"1995",2
"1996",0
"1997",1
"1998",1
"1999",3
"2000",0
"2001",2
"2002",0
"2003",2
"2004",2
"2005",0
"2006",3
"2007",2
"2008",0
"2009",4
"2010",0
"2011",4
"2012",3
"2013",0
"2014",1
"2015",2
"2016",2
"2017",1
"2018",2
"2019",0
"2020",2
"2021",3
"2022",4
"2023",1
"2024",2
"2025",0
"2026",2
"2027",4
"2028",3
"2029",1
"2030",0
"2031",2
"2032",4
"2033",0
"2034",1
"2035",1
"2036",0
"2037",4
"2038",0
"2039",1
"2040",3
"2041",3
"2042",3
"2043",0
"2044",0
"2045",4
"2046",2
"2047",4
"2048",4
"2049",3
"2050",4
"2051",3
"2052",0
"2053",1
"2054",1
"2055",0
"2056",2
"2057",0
"2058",3
"2059",3
"2060",4
"2061",4
"2062",1
"2063",0
"2064",4
"2065",4
"2066",3
"2067",2
"2068",3
"2069",3
"2070",2
"2071",1
"2072",4
"2073",2
"2074",2
"2075",2
"2076",4
"2077",2
"2078",4
"2079",1
"2080",3
"2081",3
"2082",2
"2083",4
"2084",0
"2085",2
"2086",1
"2087",2
"2088",3
"2089",4
"2090",4
"2091",4
"2092",0
"2093",4
"2094",4
"2095",0
"2096",1
"2097",2
"2098",0
"2099",0
"2100",1
"2101",1
"2102",2
"2103",0
"2104",2
"2105",4
"2106",0
"2107",0
"2108",2
"2109",4
"2110",1
"2111",0
"2112",3
"2113",1
"2114",4
"2115",4
"2116",4
"2117",2
"2118",3
"2119",3
"2120",2
"2121",4
"2122",1
"2123",1
"2124",1
"2125",4
"2126",3
"2127",0
"2128",3
"2129",4
"2130",0
"2131",0
"2132",2
"2133",3
"2134",2
"2135",3
"2136",0
"2137",2
"2138",0
"2139",1
"2140",2
"2141",3
"2142",0
"2143",3
"2144",1
"2145",0
"2146",3
"2147",4
"2148",1
"2149",0
"2150",2
"2151",4
"2152",4
"2153",1
"2154",2
"2155",0
"2156",4
"2157",2
"2158",1
"2159",2
"2160",0
"2161",1
"2162",1
"2163",0
"2164",3
"2165",0
"2166",2
"2167",3
"2168",3
"2169",1
"2170",0
"2171",0
"2172",0
"2173",3
"2174",4
"2175",0
"2176",1
"2177",3
"2178",0
"2179",0
"2180",3
"2181",2
"2182",3
"2183",4
"2184",3
"2185",3
"2186",4
"2187",1
"2188",0
"2189",0
"2190",0
"2191",3
"2192",1
"2193",0
"2194",2
"2195",1
"2196",3
"2197",3
"2198",3
"2199",3
"2200",1
"2201",3
"2202",0
"2203",2
"2204",3
"2205",0
"2206",4
"2207",0
"2208",0
"2209",2
"2210",0
"2211",4
"2212",2
"2213",4
"2214",3
"2215",0
"2216",1
"2217",1
"2218",2
"2219",0
"2220",0
"2221",1
"2222",3
"2223",1
"2224",4
"2225",1
"2226",3
"2227",0
"2228",2
"2229",0
"2230",0
"2231",4
"2232",0
"2233",1
"2234",0
"2235",2
"2236",2
"2237",0
"2238",3
"2239",3
"2240",4
"2241",4
"2242",2
"2243",2
"2244",1
"2245",3
"2246",3
"2247",4
"2248",2
"2249",4
"2250",3
"2251",1
"2252",3
"2253",1
"2254",4
"2255",3
"2256",2
"2257",4
"2258",2
"2259",4
"2260",2
"2261",2
"2262",0
"2263",2
"2264",1
"2265",0
"2266",1
"2267",4
"2268",3
"2269",1
"2270",0
"2271",2
"2272",3
"2273",2
"2274",4
"2275",1
"2276",3
"2277",0
"2278",2
"2279",0
"2280",0
"2281",4
"2282",1
"2283",4
"2284",2
"2285",3
"2286",4
"2287",2
"2288",3
"2289",4
"2290",4
"2291",3
"2292",0
"2293",1
"2294",4
"2295",3
"2296",4
"2297",0
"2298",1
"2299",3
"2300",1
"2301",2
"2302",4
"2303",3
"2304",1
"2305",3
"2306",2
"2307",0
"2308",1
"2309",4
"2310",0
"2311",2
"2312",0
"2313",4
"2314",1
"2315",2
"2316",4
"2317",0
"2318",3
"2319",3
"2320",0
"2321",1
"2322",4
"2323",1
"2324",1
"2325",3
"2326",1
"2327",2
"2328",0
"2329",3
"2330",3
"2331",1
"2332",4
"2333",1
"2334",4
"2335",1
"2336",2
"2337",1
"2338",3
"2339",3
"2340",0
"2341",2
"2342",4
"2343",2
"2344",1
"2345",0
"2346",2
"2347",0
"2348",0
"2349",0
"2350",2
"2351",2
"2352",4
"2353",2
"2354",1
"2355",4
"2356",4
"2357",2
"2358",2
"2359",0
"2360",2
"2361",3
"2362",1
"2363",4
"2364",3
"2365",0
"2366",4
"2367",1
"2368",3
"2369",2
"2370",2
"2371",4
"2372",2
"2373",2
"2374",1
"2375",4
"2376",2
"2377",2
"2378",3
"2379",2
"2380",1
"2381",1
"2382",3
"2383",3
"2384",4
"2385",1
"2386",3
"2387",0
"2388",0
"2389",1
"2390",0
"2391",3
"2392",4
"2393",1
"2394",4
"2395",4
"2396",1
"2397",4
"2398",4
"2399",4
"2400",1
"2401",1
"2402",2
"2403",2
"2404",4
"2405",2
"2406",4
"2407",4
"2408",3
"2409",3
"2410",1
"2411",3
"2412",2
"2413",3
"2414",2
"2415",1
"2416",0
"2417",3
"2418",1
"2419",0
"2420",4
"2421",1
"2422",1
"2423",1
"2424",1
"2425",4
"2426",4
"2427",4
"2428",3
"2429",3
"2430",4
"2431",3
"2432",1
"2433",1
"2434",0
"2435",4
"2436",0
"2437",3
"2438",2
"2439",1
"2440",0
"2441",3
"2442",1
"2443",2
"2444",1
"2445",1
"2446",3
"2447",1
"2448",3
"2449",3
"2450",3
"2451",3
"2452",2
"2453",3
"2454",3
"2455",1
"2456",4
"2457",4
"2458",1
"2459",2
"2460",3
"2461",3
"2462",2
"2463",4
"2464",3
"2465",2
"2466",1
"2467",2
"2468",1
"2469",1
"2470",2
"2471",0
"2472",1
"2473",2
"2474",2
"2475",3
"2476",4
"2477",4
"2478",1
"2479",1
"2480",3
"2481",0
"2482",3
"2483",1
"2484",3
"2485",4
"2486",1
"2487",1
"2488",1
"2489",2
"2490",1
"2491",3
"2492",4
"2493",1
"2494",1
"2495",0
"2496",4
"2497",4
"2498",3
